True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p302839,GIANCARLO,MAZZUCA,MAZZUCA F F F F F F F F C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302839,MAZZUCA,GIANCARLO
http://dati.camera.it/ocd/persona.rdf/p302752,MATTEO,MECACCI,MECACCI F F F F F F F F C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302752,MECACCI,MATTEO
http://dati.camera.it/ocd/persona.rdf/p37620,GIOVANNA,MELANDRI,MELANDRI F F F F F F C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p37620,MELANDRI,GIOVANNA
http://dati.camera.it/ocd/persona.rdf/p302322,DANIELA,MELCHIORRE,MELCHIORRE M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p302322,MELCHIORRE,DANIELA
http://dati.camera.it/ocd/persona.rdf/p302103,GIORGIA,MELONI,MELONI C C F F F ,True,http://dati.camera.it/ocd/persona.rdf/p302103,MELONI,GIORGIA
http://dati.camera.it/ocd/persona.rdf/p37660,ROBERTO,MENIA,MENIA ,True,http://dati.camera.it/ocd/persona.rdf/p37660,MENIA,ROBERTO
http://dati.camera.it/ocd/persona.rdf/p300257,ANTONIO,MEREU,MEREU F F F F F F F C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p300257,MEREU,ANTONIO
http://dati.camera.it/ocd/persona.rdf/p50025,GIORGIO,MERLO,MERLO GIORGIO F F F F F F F C C C F F MERLO RICARDO ANTONIO ,False,,,
http://dati.camera.it/ocd/persona.rdf/p301471,MARIA PAOLA,MERLONI,MERLONI C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p301471,MERLONI,MARIA PAOLA
http://dati.camera.it/ocd/persona.rdf/p305101,FABIO,MERONI,MERONI F F F F F F F C C F F F ,True,http://dati.camera.it/ocd/persona.rdf/p305101,MERONI,FABIO
http://dati.camera.it/ocd/persona.rdf/p302986,IGNAZIO,MESSINA,MESSINA F F F F F F F F C C F F ,False,,,
http://dati.camera.it/ocd/persona.rdf/p37690,GIOVANNI,MICCICHE',MICCICHE’ ,True,http://dati.camera.it/ocd/persona.rdf/p37690,MICCICHE',GIOVANNI
http://dati.camera.it/ocd/persona.rdf/p50205,MAURIZIO,MIGLIAVACCA,MIGLIAVACCA M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p50205,MIGLIAVACCA,MAURIZIO
http://dati.camera.it/ocd/persona.rdf/p301479,IVANO,MIGLIOLI,MIGLIOLI F F F F F F F C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p301479,MIGLIOLI,IVANO
http://dati.camera.it/ocd/persona.rdf/p50361,RICCARDO,MIGLIORI,MIGLIORI M M M M M M M M M M M M ,True,http://dati.camera.it/ocd/persona.rdf/p50361,MIGLIORI,RICCARDO
http://dati.camera.it/ocd/persona.rdf/p300296,LORENA,MILANATO,MILANATO F F F F F F F C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p300296,MILANATO,LORENA
http://dati.camera.it/ocd/persona.rdf/p302793,MARCO MARIO,MILANESE,MILANESE F F F F F F F C C C F F ,True,http://dati.camera.it/ocd/persona.rdf/p302793,MILANESE,MARCO MARIO
http://dati.camera.it/ocd/persona.rdf/p302913,ANTONINO,MINARDO,MINARDO F F F F F F F C C F F F ,True,http://dati.camera.it/ocd/persona.rdf/p302913,MINARDO,ANTONINO
