"d","cognome","nome","membroGoverno","dataInizio","dataFine","carica","nomeGoverno","nomeOrganoGoverno","delega","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d15250_11","COSTA","RAFFAELE","http://dati.camera.it/ocd/membroGoverno.rdf/mg15250_3_46_11_19930221","19930221","19930428","MINISTRO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DELLA SANITA'",,2019-04-05 13:35:07
"http://dati.camera.it/ocd/deputato.rdf/d15890_11","MALVESTIO","PIERGIOVANNI","http://dati.camera.it/ocd/membroGoverno.rdf/mg15890_5_46_12_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DEL TESORO",,2022-07-06 13:46:22
"http://dati.camera.it/ocd/deputato.rdf/d15250_11","COSTA","RAFFAELE","http://dati.camera.it/ocd/membroGoverno.rdf/mg15250_6_46_20_19920628","19920628","19930221","MINISTRO SENZA PORTAFOGLIO","I Governo Amato (28.06.1992 - 28.04.1993)","PRESIDENZA DEL CONSIGLIO - POLITICHE COMUNITARIE",,2019-04-05 13:35:07
"http://dati.camera.it/ocd/deputato.rdf/d15250_11","COSTA","RAFFAELE","http://dati.camera.it/ocd/membroGoverno.rdf/mg15250_6_46_27_19920628","19920628","19930221","MINISTRO SENZA PORTAFOGLIO","I Governo Amato (28.06.1992 - 28.04.1993)","PRESIDENZA DEL CONSIGLIO - AFFARI REGIONALI",,2019-04-05 13:35:07
"http://dati.camera.it/ocd/deputato.rdf/d1950_11","CRISTOFORI","ADOLFO LORIS","http://dati.camera.it/ocd/membroGoverno.rdf/mg1950_3_46_18_19920628","19920628","19930428","MINISTRO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DEL LAVORO E DELLA PREVIDENZA SOCIALE",,2019-04-05 13:26:35
"http://dati.camera.it/ocd/deputato.rdf/d1770_11","COLOMBO","EMILIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg1770_3_46_7_19920801","19920801","19930428","MINISTRO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DEGLI AFFARI ESTERI",,2019-04-05 13:38:20
"http://dati.camera.it/ocd/deputato.rdf/d21200_11","FIORI","PUBLIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg21200_5_46_10_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DELLE POSTE E DELLE TELECOMUNICAZIONI",,2019-04-05 13:23:06
"http://dati.camera.it/ocd/deputato.rdf/d21960_11","SACCONI","MAURIZIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg21960_5_46_12_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DEL TESORO",,2019-04-05 13:28:57
"http://dati.camera.it/ocd/deputato.rdf/d2050_11","D'AQUINO","SAVERIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg2050_5_46_15_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DELL'INTERNO",,2019-04-05 13:15:35
"http://dati.camera.it/ocd/deputato.rdf/d21450_11","LENOCI","CLAUDIO","http://dati.camera.it/ocd/membroGoverno.rdf/mg21450_5_46_15_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DELL'INTERNO",,2019-04-05 13:18:27
"http://dati.camera.it/ocd/deputato.rdf/d20760_11","BISAGNO","TOMMASO","http://dati.camera.it/ocd/membroGoverno.rdf/mg20760_5_46_17_19920630","19920630","19930428","SOTTOSEGRETARIO DI STATO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DEI LAVORI PUBBLICI",,2022-05-02 14:46:12
"http://dati.camera.it/ocd/deputato.rdf/d22050_11","SPINI","VALDO","http://dati.camera.it/ocd/membroGoverno.rdf/mg22050_3_46_21_19930309","19930309","19930428","MINISTRO","I Governo Amato (28.06.1992 - 28.04.1993)","MINISTERO DELL'AMBIENTE",,2019-04-05 13:37:11
