"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p100","ALIVERTI","GIANFRANCO","Licenza media superiore; sindacalista.","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1040","BORTOLANI","FRANCO","Laurea in scienze agrarie; libero professionista","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1070","BOTTA","GIUSEPPE","Licenza media superiore; impiegato Ferrovie dello Stato.","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1070","BOTTA","GIUSEPPE","Licenza media superiore; impiegato Ferrovie dello Stato.","19920416","19940414"
"http://dati.camera.it/ocd/persona.rdf/p306921","BARADELLO","MAURIZIO","Laurea in ingegneria; Dirigente pubblica amministrazione","20150917","20170509"
"http://dati.camera.it/ocd/persona.rdf/p306961","SECCO","DINO","Laurea in storia e filosofia; Funzionario pubblico","20160427","20180322"
"http://dati.camera.it/ocd/persona.rdf/p302040","MURGIA","BRUNO","Laurea in lettere moderne; Giornalista","20160707","20180322"
"http://dati.camera.it/ocd/persona.rdf/p307106","MURA","ANDREA","Diploma di istituto tecnico industriale, Laurea Honoris causa in Scienze motorie; Artigiano","20180308","20180927"
"http://dati.camera.it/ocd/persona.rdf/p307117","CHIAZZESE","GIUSEPPE","Laurea in farmacia; Farmacista","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307122","PAXIA","MARIA LAURA","Laurea in scienze dell'informazione; Imprenditore nel settore digital","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307120","MARTINCIGLIO","VITA","Laurea in giurisprudenza; Avvocato civilista specializzato in diritto bancario e internazionale","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307114","ALAIMO","ROBERTA","Laurea in scienze dell'educazione; Master di II livello in ""Strategie Organizzative e di Innovazione nella P.A.""; Dipendente pubblico","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307126","CATALDI","ROBERTO","Laurea in giurisprudenza Università di Macerata con 110 e lode; Avvocato civilista; saggista e autori di diverse pubblicazioni giuridiche; Direttore della rivista telematica ""Studio Cataldi"".it","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307118","SODANO","MICHELE","Laurea in economia aziendale e management; Master of Science in Management of Creative Business Processes; Project Manager","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307105","TRIPODI","ELISA","Diploma di liceo scientifico; Agente di assicurazione; Consulente finanziario","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307107","LAPIA","MARA","Laurea in giurisprudenza, Specializzazione in criminologia; Avvocato","20180308",
"http://dati.camera.it/ocd/persona.rdf/p306082","LOREFICE","MARIALUCIA","Diploma di liceo linguistico","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307116","CASA","VITTORIA","Laurea in lingue e letterature straniere; Dirigente scolastico","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307108","CABRAS","PINO","Laurea in scienze politiche, corso biennale di perfezionamento di relazioni industriali; Analista finanziario, Codirettore del sito www.megachip.info","20180308",
"http://dati.camera.it/ocd/persona.rdf/p307113","TRIZZINO","GIORGIO","Laurea in medicina e chirurgia; Specialista in Igiene e medicina preventiva, Chirurgia toracica, Chirurgia generale","20180309",
"http://dati.camera.it/ocd/persona.rdf/p306085","D'UVA","FRANCESCO","Laurea in chimica","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307111","CADEDDU","LUCIANO","Imprenditore zootecnico","20180308",
"http://dati.camera.it/ocd/persona.rdf/p305787","CECCONI","ANDREA","Laurea in professioni sanitarie infermieristiche","20180309",
"http://dati.camera.it/ocd/persona.rdf/p306080","MARZANA","MARIA","Insegnante","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307127","EMILIOZZI","MIRELLA","Laurea in lingue e letterature straniere; Insegnante di scuola secondaria superiore","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307124","SAITTA","EUGENIO","Laurea in giurisprudenza","20180309",
"http://dati.camera.it/ocd/persona.rdf/p307109","PERANTONI","MARIO","Laurea in giurisprudenza; Avvocato","20180308",
"http://dati.camera.it/ocd/persona.rdf/p306091","VILLAROSA","ALESSIO MATTIA","Laurea in economia aziendale","20180309",
