True persona,True name,True surname,Text,Correct,Predicted persona,Predicted surname,Predicted name
http://dati.camera.it/ocd/persona.rdf/p34730,ELIO,VITO,Euo VITO. Chiedo di parlare per un richiamo al regolamento. ,False,,,
http://dati.camera.it/ocd/persona.rdf/p33250,VITO,GNUTTI,"Euo VITO. Infatti, signor Presidente! Ma lei può sollecitarli a far silenzio molto meglio del sottoscritto dal proprio banco! ",False,,,
http://dati.camera.it/ocd/persona.rdf/p34730,ELIO,VITO,"Euo VITO. La questione che intendo porre come richiamo al regolamento è la seguente. Lei ha poc'anzi dato lettura del calendario dei lavori dell'Assemblea approvato dalla Conferenza dei presidenti di gruppo. Nelle giornate di mercoledì e giovedì della prossima settimana è stato calendarizzato l'esame dei progetti di legge n. 804 ed abbinati, concernenti modifiche al sistema elettorale per i consigli regionali. Signor Presidente, chiarito che intendimento di questo gruppo e del sottoscritto non è quello di evitare che l'esame di tali progetti di legge avvenga in tempi rapidi e certi (vogliamo, anzi, che vengano rispettati i tempi comunicati alla Camera dal Presidente del Consiglio Dini, perché riteniamo che la materia oggetto di quei progetti di legge sia uno dei quattro punti sui quali si deve misurare e poi terminare l'attività del Governo in carica), rilevo che lei ci ha comunicato che la discussione di quei provvedimenti si svolgerà ai sensi dei commi 6 e 7 dell'articolo 24 del regolamento. Il comma 6 dell'articolo 24 del regolamento disciplina il contingentamento dei tempi della discussione sulle linee generali quando ne venga richiesto l'ampliamento, quando, cioè, un gruppo richieda che ad intervenire sia più di un deputato per ciascun gruppo. Noi sappiamo che la materia elettorale è una delle poche per le quali il nostro regolamento prevede modalità e tempi di svolgimento delle discussioni e delle votazioni particolarmente ampi, riconoscendone, quindi, l'importanza. Il comma 6 dell'articolo 24 del regolamento, quindi, disciplina il caso in cui venga richiesto l'ampliamento della discussione sulle linee generali e si arrivi, conseguentemente, al contingentamento dei tempi. H comma 7 dello stesso articolo, invece, disciplina le fasi successive alla discussione sulle linee generali e prevede che si possano operare ulteriori contingentamenti dei tempi in sede di illustrazione e votazione degli articoli e degli emendamenti e di voto finale; ciò — lo sottolineo — può avvenire solo in una fase successiva alla discussione generale e qualora si sia in presenza di un inserimento dell'esame del provvedimento in un secondo calendario dei lavori. Dalla comunicazione che lei ha letto, relativa all'esito della riunione della Conferenza dei presidenti di gruppo, sembra che — contrariamente a quanto stabilito dai commi 6 e 7 dell'articolo 24, pur richiamati da tale comunicazione — nelle giornate di mercoledì e giovedì della prossima settimana non solo debba aver luogo la discussione sulle linee generali delle proposte di legge ma si debba anche completare l'esame delle medesime. È chiaro, Presidente, che la Conferenza dei presidenti di gruppo può decidere all'unanimità qualsiasi cosa, ma non può decidere — all'unanimità o a maggioranza — qualcosa che contrasti con il regolamento, anche perché quest'ultimo è il regolamento della Camera dei deputati e non della Camera dei gruppi. È quindi il regolamento che interpreta, rappresenta e tutela il diritto dei singoli deputati, il quale — soprattutto in materia elettorale — non può essere limitato da una decisione, per quanto unanime, della Conferenza dei presidenti di gruppo. Vorrei quindi assicurazioni sul fatto che l'esame delle proposte di legge in materia elettorale regionale si svolgerà, a partire dalla giornata di mercoledì prossimo, secondo le modalità previste dal nostro regolamento. Esse potranno anche consentire la conclusione dell'esame stesso nella giornata di giovedì o addirittura in quella di mercoledì: non vi è alcun intento dilatorio o ostruzionistico. Tuttavia quelle modalità potranno anche consentire, nello stretto rispetto del nostro regolamento, una conclusione dell'esame di quelle proposte di legge in tempi diversi. Desidero semplicemente essere rassicurato che la possibilità di ciascun deputato di intervenire, di presentare e di illustrare emendamenti, di discutere sugli articoli e di rendere dichiarazioni di voto non venga limitata da decisioni unanimi della Conferenza dei presidenti di gruppo che si collochino al di fuori delle previsioni del regolamento. Per inciso, Presidente, faccio rilevare che la conclusione dell'esame di una materia così importante è prevista per il pomeriggio di giovedì. So che è già stato comunicato ufficialmente alla Presidenza della Camera che alle 15 di quel giorno comincerà il congresso di un partito politico (quello del movimento dei club Pannella-riformatori). Mi pare che in questa fase della legislatura sia ripresa l'antica e credo buona tradizione di sospendere i lavori parlamentari in concomitanza dei congressi nazionali dei partiti. Mi pare quindi sia opportuno risolvere anche questo piccolo problema che si porrà nel pomeriggio di giovedì della prossima settimana. Presidente, non avrei sollevato tale questione se non riguardasse una materia molto importante e delicata, quella elettorale, per la quale il regolamento prevede procedure particolarmente ampie di svolgimento della discussione, e se non potessi assicurare a lei e a tutti i colleghi che, nel richiedere il rispetto dei tempi previsti dal regolamento, non è messa in atto alcuna manovra dilatoria od ostruzionistica di utilizzo dei tempi stessi. Si cercherà di limitare al massimo il ricorso ai tempi previsti dal regolamento; Atti Parlamentari — 7961 — Camera dei Deputati XH LEGISLATURA - DISCUSSIONI - SEDUTA DEL 9 FEBBRAIO 1995 vogliamo però che sia reso possibile discutere nel merito le proposte di legge ed utilizzare gli strumenti che il regolamento ci concede. Se in questa fase particolarmente delicata... ",False,,,
http://dati.camera.it/ocd/persona.rdf/p34730,ELIO,VITO,"Euo VITO. Concludo subito, Presidente. Se — dicevo — in questa fase particolarmente delicata della nostra vita parlamentare si comincia con ima decisione unanime della Conferenza dei presidenti di gruppo che limita l'attività parlamentare, credo si possa avere più di una fondata ragione di preoccupazione sul prosieguo dell'attività medesima (Applausi). ",False,,,
http://dati.camera.it/ocd/persona.rdf/p36860,GIUSEPPE,GIULIETTI,GIUSEPPE CALDERISI. E sarebbe un errore! ,False,,,
http://dati.camera.it/ocd/persona.rdf/p39280,GIORGIO,VIDO,GIORGIO JANNONE. Chiedo di parlare per un richiamo al regolamento. ,False,,,
http://dati.camera.it/ocd/persona.rdf/p930,GIORGIO,BOGI,"GIORGIO JANNONE. Mi sembra di aver inteso dalla sua affermazione che il Presidente della Camera ha stabilito che non si possa più far presente alla Presidenza di non aver potuto esprimere il proprio voto per il mancato funzionamento del sistema di votazione. Sinceramente, ciò mi sembra in netto contrasto con quanto è avvenuto sotto precedenti Presidenze. Più volte abbiamo infatti sentito il Presidente della Camera o i Presidenti di turno dell'Assemblea invitare i deputati che a causa del difettoso funzionamento del dispositivo di votazione intendevano specificare il proprio voto, a farlo al termine della seduta. Oggi per la prima volta ascoltiamo che questo modo di procedere, che mi sembra peraltro rispondere ad esigenze pratiche del tutto condivisibili, non è più ammesso. Le chiedo, Presidente, di precisare meglio questa nuova interpretazione, che mi pare restrittiva, come lo sono state molte delle interpretazioni dell'attuale Presidenza, fra l'altro senza uno specifico supporto regolamentare. La prego, dunque, Presidente, di spiegare meglio, adesso o nella prossima seduta, cosa significhi l'interpretazione estremamente restrittiva che ha richiamato, che oltre tutto non si concilia con esigenze derivanti da un mero fatto tecnico qual è l'eventuale mancato funzionamento di un pulsante. ",False,,,
http://dati.camera.it/ocd/persona.rdf/p39280,GIORGIO,VIDO,"GIORGIO JANNONE. Condivido la necessità di criteri restrittivi, anche in riferimento al dubbio che può essere sorto a causa dell'elevato numero di richieste di precisazione. Tuttavia, considero il diritto di ciascun deputato di esprimere il proprio voto su ogni singola questione prevalente rispetto ad un problema di carattere tecnico o a un dubbio che può essere stato suscitato — come lei ha rilevato — dall'elevato numero di richieste di precisazione (effettivamente me ne sono accorto anch'io) In altri termini, ritengo che, a tutela della Camera, debba essere sempre prevalente il diritto di ciascun deputato, che rappresenta, non dimentichiamalo, il popolo sovrano, di esprimere il proprio voto e il proprio parere su una data questione senza che aprioristicamente si pensi, ancorché sulla base di un legittimo dubbio, che i deputati vogliano mentire o sostenere cose non veritiere. ",False,,,
http://dati.camera.it/ocd/persona.rdf/p36710,GIACOMO,GARRA,GIACOMO GARRA. Chiedo di parlare. ,False,,,
http://dati.camera.it/ocd/persona.rdf/p36710,GIACOMO,GARRA,GIACOMO GARRA. Signor Presidente il prossimo 1 5 febbraio scadrà il termine per la presentazione delle domande di condono previdenziale nel settore agricolo. Desidero sollecitare la risposta scritta alla mia interrogazione n. 4 - 0 7 2 0 4 nella quale faccio presente che il 6 febbraio scorso gli agricoltori non hanno trovato disponibili i moduli per la presentazione delle domande presso gli ,False,,,
