"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p308400","DORIA","CARLO","20200925",
"http://dati.camera.it/ocd/persona.rdf/p306800","VALDINOSI","MARA","20141016",
"http://dati.camera.it/ocd/persona.rdf/p100","ALIVERTI","GIANFRANCO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1060","BOSCO","MANFREDI","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p10740","VECCHIETTI","TULLIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p10950","SANNA","CARLO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1240","CABRAS","PAOLO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1240","CABRAS","PAOLO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1370","CARIGLIA","ANTONIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1410","CARTA","GIANUARIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14440","AMABILE","GIOVANNI","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14530","ARFE'","GAETANO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14710","BONINO","EMMA","20080418","20130314"
"http://dati.camera.it/ocd/persona.rdf/p14840","CAMPAGNOLI","MARIO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p14870","CAPPELLI","LORENZO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14940","CARLOTTO","NATALE","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p14940","CARLOTTO","NATALE","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15080","CICCHITTO","FABRIZIO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1510","CATTANEI","FRANCESCO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15110","CITARISTI","SEVERINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p15110","CITARISTI","SEVERINO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15190","CONTE","ANTONIO","19960430","20010529"
"http://dati.camera.it/ocd/persona.rdf/p15350","DE COSMO","VINCENZO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p15730","KESSLER","BRUNO","19870702","19910320"
"http://dati.camera.it/ocd/persona.rdf/p15920","MANNINO","CALOGERO","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p15960","MARGHERI","ANDREA","19891004","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16050","MASTELLA","MARIO CLEMENTE","20060418","20080428"
"http://dati.camera.it/ocd/persona.rdf/p16230","MORA","GIANPAOLO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16230","MORA","GIANPAOLO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16270","NAPOLEONI","CLAUDIO","19870702","19880731"
"http://dati.camera.it/ocd/persona.rdf/p16290","NESPOLO","CARLA FEDERICA","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16310","OCCHETTO","ACHILLE","20010521","20060427"
"http://dati.camera.it/ocd/persona.rdf/p16350","ORSINI","BRUNO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1640","CHIARANTE","GIUSEPPE ANTONIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1640","CHIARANTE","GIUSEPPE ANTONIO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p17020","VIZZINI","CARLO","20010521","20060427"
"http://dati.camera.it/ocd/persona.rdf/p17020","VIZZINI","CARLO","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p17020","VIZZINI","CARLO","20080425","20130314"
"http://dati.camera.it/ocd/persona.rdf/p17050","ZANONE","VALERIO","20060419","20080428"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","20030114","20060427"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","20060428","20080428"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","20080429","20130314"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","20130315","20130624"
"http://dati.camera.it/ocd/persona.rdf/p17880","BERLINGUER","LUIGI","20010518","20020724"
"http://dati.camera.it/ocd/persona.rdf/p18210","CHIAROMONTE","GERARDO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p18210","CHIAROMONTE","GERARDO","19920423","19930407"
"http://dati.camera.it/ocd/persona.rdf/p19000","LA RUSSA","ANTONINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1960","CUMINETTI","SERGIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p19910","SARAGAT","GIUSEPPE","19870702","19880611"
"http://dati.camera.it/ocd/persona.rdf/p200001","ABIS","LUCIO GUSTAVO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200001","ABIS","LUCIO GUSTAVO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200002","ABRAMONTE","ANNA MARIA","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200004","ACQUAVIVA","GENNARO","19870702","19920422"
